state,FIPS,unemployment,incomeLevel,votes Dem percent, votes Rep percent
OK,40093,LOW,LOW,0.09120329508679023,0.8649602824360106
OK,40095,LOW,LOW,0.19956260251503555,0.7658100965919445
OK,40097,LOW,LOW,0.21785896130346233,0.7351069246435845
OK,40087,LOW,NORMAL,0.1718035512797672,0.7809846190391353
OK,40089,HIGH,LOW,0.1679895415071435,0.8069847791577178
OK,40091,HIGH,LOW,0.26664991203820054,0.6912540839406887
OK,40099,LOW,LOW,0.19656108597285069,0.7552941176470588
OK,40101,LOW,LOW,0.3293927995701236,0.6212127474889431
OK,40103,LOW,LOW,0.18501026694045175,0.7611909650924025
OK,40105,HIGH,LOW,0.17512390842577294,0.7838092990323342
OK,40107,HIGH,LOW,0.23976608187134502,0.7096364098652428
OK,40109,LOW,LOW,0.4117591161109466,0.5169018562985866
OK,40111,HIGH,LOW,0.31449296179258834,0.641051422005171
OK,40113,LOW,LOW,0.295269770879527,0.6630239679020167
OK,40115,LOW,LOW,0.241811716264271,0.7137376005989144
OK,40117,HIGH,LOW,0.21131421367790734,0.7431452883706272
OK,40119,LOW,LOW,0.3165879851526181,0.5998053983927348
OK,40121,HIGH,LOW,0.21472463768115943,0.7385507246376811
OK,40123,LOW,LOW,0.245240988254354,0.7033886863777508
OK,40125,LOW,LOW,0.23625919660070033,0.701341621749223
OK,40127,HIGH,LOW,0.16685255409324112,0.7987954494757975
OK,40129,LOW,LOW,0.08589306029579068,0.8794084186575654
OK,40131,LOW,NORMAL,0.19334378214233236,0.7565509134544742
OK,40133,HIGH,LOW,0.2573456175298805,0.6987051792828686
OK,40135,HIGH,LOW,0.2120246588626446,0.7541733047031932
OK,40137,HIGH,LOW,0.17242536061724253,0.7920161019792016
OK,40139,LOW,LOW,0.14815456593311385,0.7996880956506671
OK,40141,LOW,LOW,0.24279379157427938,0.7184035476718403
OK,40143,LOW,LOW,0.35554861553312217,0.5839826084840423
OK,40145,LOW,NORMAL,0.2147794917749472,0.735038084874864
OK,40147,LOW,LOW,0.22726044668587897,0.7119056195965417
OK,40149,HIGH,LOW,0.12705272255834055,0.8321089023336214
